Gene_acc,Gene_id,logFC,log_AveExpr,FDR,Desc
0,GFP.BLA,-0.4758617582750553,19.62669726488841,0.006766315384404752,GFP.BLA
1,Tb05.5K5.100:mRNA-p1;Tb927.5.4450:mRNA-p1,-0.39582573914578134,17.076418820264877,0.005121718885629858,"hypothetical protein, conserved"
2,Tb05.5K5.110:mRNA-p1;Tb927.5.4460:mRNA-p1,-0.2562272599474049,20.90301306871362,0.09069371334345201,"major vault protein, putative"
3,Tb05.5K5.120:mRNA-p1;Tb927.5.4470:mRNA-p1,-0.35803216381092184,17.795679947921744,0.016506776019808298,"hypothetical protein, conserved"
4,Tb05.5K5.130:mRNA-p1;Tb927.5.4480:mRNA-p1,-0.38132263889115237,21.089209342690225,0.03662789735251465,"paraflagellar rod component par4, putative"
5,Tb05.5K5.150:mRNA-p1;Tb927.5.4500:mRNA-p1,0.2742194448365005,21.636908529720557,0.08155315386532824,"ras-like small GTPase, putative"
6,Tb05.5K5.160:mRNA-p1;Tb927.5.4520:mRNA-p1,-0.11696517336574175,19.277753479225726,0.2585569420426825,Kinetochore interacting protein 1
8,Tb05.5K5.20:mRNA-p1;Tb927.5.4360:mRNA-p1,0.2499445359115704,17.35938272825267,0.018312409319615138,"hypothetical protein, conserved"
9,Tb05.5K5.200:mRNA-p1;Tb11.v5.0409.1-p1;Tb927.5.4560:mRNA-p1,-0.09873691615100455,21.243966923886287,0.22772303035934413,"guanine deaminase, putative"
10,Tb05.5K5.210:mRNA-p1,-0.760329601926319,19.493951606501486,0.0005998914334811096,hypothetical protein
11,Tb05.5K5.220:mRNA-p1;Tb927.5.4580:mRNA-p1,0.8385392340944655,15.542470777982494,0.6986344560400435,Flagellum adhesion protein 3
12,Tb05.5K5.240:mRNA-p1;Tb11.v5.0367.1-p1;Tb927.5.4600:mRNA-p1,-1.8336427271182938,16.76286745534623,0.0007089118009042105,"expression site-associated gene 3 (ESAG3) protein, putative"
13,Tb05.5K5.30:mRNA-p1;Tb927.5.4380:mRNA-p1,0.05415818477163725,20.89632073304254,0.5855153805788906,Kinetoplastid-specific Protein Phosphatase 1
14,Tb05.5K5.40:mRNA-p1;Tb927.5.4390:mRNA-p1,-1.052180692517652,17.168109753038337,0.0021003919671854013,"hypothetical protein, conserved"
15,Tb05.5K5.50:mRNA-p1;Tb927.5.4400:mRNA-p1,-0.4658883097771849,18.19541718508322,0.003003737443670335,"hypothetical protein, conserved"
16,Tb05.5K5.60:mRNA-p1;Tb927.5.4410:mRNA-p1,-0.16620019470100544,17.898140641394573,0.06660448007103424,"hypothetical protein, conserved"
17,Tb05.5K5.70:mRNA-p1;Tb927.5.4420:mRNA-p1,-0.07034433129030404,22.057898379881596,0.31961894231736776,"nucleolar RNA helicase II, putative"
18,Tb05.5K5.80:mRNA-p1;Tb927.5.4430:mRNA-p1,0.380472649643103,17.720474646912294,0.18830838278298623,"calcium/calmodulin-dependent protein kinase, putative"
19,Tb05.5K5.90:mRNA-p1;Tb927.5.4440:mRNA-p1,-0.6861283118151782,17.307673552404143,0.03300872078770827,"dynein light chain, putative"
20,Tb06.3A7.960:mRNA-p1,-0.38046988303687,18.43551644079752,0.03629947834863337,hypothetical protein
21,Tb07.11L3.100:mRNA-p1;Tb927.7.2150:mRNA-p1,-0.15458885440795456,15.588719106052492,0.4293479521743176,SUMO-interacting motif-containing protein
22,Tb07.11L3.90:mRNA-p1;Tb927.7.2140:mRNA-p1,0.40228166438495094,19.316451596266425,0.0037764313595672195,"zinc finger protein family member, putative"
23,Tb08.27P2.110:mRNA-p1;Tb927.8.480:mRNA-p1,-0.670918705623027,16.485791423272246,0.008384388676418435,"phosphatidic acid phosphatase protein, putative"
24,Tb09.v4.0013:mRNA-p1,-0.4787108008648815,18.081080675587803,0.008484755127176016,"retrotransposon hot spot (RHS) protein, putative"
25,Tb09.v4.0014:mRNA-p1;Tb09.v4.0110:mRNA-p1;Tb927.9.15850:mRNA-p1,-0.19879321950032391,18.09540286045735,0.015273117819222345,hypothetical protein
26,Tb09.v4.0016:mRNA-p1;Tb11.v5.0463.1-p1,-0.09891204322304148,18.192711841906643,0.3667523906896993,"expression site-associated gene (ESAG) protein, putative"
27,Tb09.v4.0018:mRNA-p1,-0.433079917370609,16.462615552103156,0.012196409679668212,"expression site-associated gene 3 (ESAG3) protein, putative"
30,Tb09.v4.0107:mRNA-p1,-0.451945484152219,19.260562319141805,0.018281760019964788,"expression site-associated gene 5 (ESAG5) protein, putative"
31,Tb09.v4.0109:mRNA-p1,-0.583825062173208,16.729957817906286,0.003201538304216473,hypothetical protein
32,Tb09.v4.0119:pseudogenic_transcript-p1,0.8431667213550398,15.424491550078086,0.23471478511589064,"variant surface glycoprotein (VSG, pseudogene), putative"
33,Tb09.v4.0150:pseudogenic_transcript-p1,-0.02468340676545111,16.487310053729452,0.9398338351070707,"variant surface glycoprotein (VSG, pseudogene), putative"
36,Tb10.v4.0033:mRNA-p1;Tb927.10.4430:mRNA-p1,-0.15703868339064186,20.067016056650182,0.39021112039178996,pumillo RNA binding protein PUF1
37,Tb10.v4.0034:mRNA-p1;Tb927.10.4440:mRNA-p1,-0.5420228153381679,16.80440055963418,0.0011222197561827662,predicted SAP domain protein
38,Tb10.v4.0035:mRNA-p1;Tb927.10.4450:mRNA-p1,0.12340403393086419,21.53197253910919,0.13059065430431735,"stress-inducible protein STI1-like, putative"
39,Tb10.v4.0036:mRNA-p1;Tb927.10.4460:mRNA-p1,0.22923235067068148,18.986115505007696,0.019962331846206778,"leucine carboxyl methyltransferase, putative"
41,Tb10.v4.0039:mRNA-p1;Tb927.10.4490:mRNA-p1,-0.586106217360328,17.759949461747187,0.0006006340314379829,"hypothetical protein, conserved"
42,Tb10.v4.0040:mRNA-p1;Tb927.10.4500:mRNA-p1,-0.39198775322732615,19.417142053080816,0.005888738251962107,cap guanine-N7 methyltransferase
43,Tb10.v4.0041:mRNA-p1,0.297434075804933,19.633414054651418,0.0041545443270442056,"PUB domain containing protein, putative"
